Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Julian Chapter,R.J. Palacio,"",9780553499087,digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
"Everything I Learned, I Learned in a Chinese Restaurant",Curtis Chin,"",9780316507653,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Ariadne,Jennifer Saint,"",9781250773586,hardcover,to-read,2024/02/17,"","",0,"",,,,,,,,,"",,"",No
The Hidden Oracle,Rick Riordan,"",9781484785003,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Crown of Ptolemy,Rick Riordan,"",9781484709870,digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
How to Win Friends and Influence People,Dale Carnegie,"",B003WEAI4E,digital,read,2024/02/17,2022/09,2022/09,1,"",,,,,,,,,"",,"",No
The Red Pyramid,Rick Riordan,Matt Griffin (Illustrator),9781368013581,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Serpent's Shadow,Rick Riordan,Matt Griffin (Illustrator),9781368013574,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Ship of the Dead,Rick Riordan,"",9781423160939,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Daughter of the Pirate King,Tricia Levenseller,"",9781250095961,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Better Than the Movies,Lynn Painter,"",9781534467620,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Last Ever After,Soman Chainani,"",9780062104953,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"",9780307907035,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Wonder,R.J. Palacio,"",9780370332284,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Last Olympian,Rick Riordan,"",9781368051453,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Staff of Serapis,Rick Riordan,John Rocco (Illustrator),9781484721346,digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Throne of Fire: The Graphic Novel,"Orpheus Collar, Rick Riordan","",9781484719343,digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Twelve,Jennifer Lynn Barnes,"","",digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Killer Instinct,Jennifer Lynn Barnes,"",9780316540728,paperback,read,2024/02/10,2023/07,2023/07,1,"",,,,,,,,,"",,"",No
"Emotional Intelligence: For a Better Life, success at work, and happier relationships. Improve Your Social Skills, Emotional Agility and Discover Why it Can Matter More Than IQ. (EQ 2.0)",Brandon Goleman,"",,,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
These Violent Delights,Chloe Gong,"",9781534457713,digital,read,2024/02/17,2023/04,2023/04,1,"",,"","","","","",4.5,"","","","",No
No Longer Human,Osamu Dazai,Donald Keene (Translator),9780811204811,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Autobiography of Red,Anne Carson,"",9780375701290,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Island of Silence,Lisa McMann,"",9781442407718,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The City We Became,N.K. Jemisin,"",9780316509848,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Chalice of the Gods,Rick Riordan,"",9781368098175,hardcover,read,2024/02/10,2024/01,2024/01,1,"",,,,,,,,,"",,"",No
Breasts and Eggs,Mieko Kawakami,"Sam Bett (Translator), David Boyd (Translator)",9781609455873,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Pluto,R.J. Palacio,"",,digital,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Outline,Rachel Cusk,"",9780571233625,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Foul Heart Huntsman,Chloe Gong,"",9781665905619,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Mort,Terry Pratchett,"",9780061020681,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Grimm Conclusion,Adam Gidwitz,Hugh D'Andrade (Illustrator),9780525426158,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Neverseen,Shannon Messenger,"",9781481432306,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Sun and the Star,"Mark Oshiro, Rick Riordan","",9781368081153,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
How to Date a Superhero (And Not Die Trying),Cristina Fernandez,"",9780063114302,hardcover,read,2024/02/10,2023/04,2023/04,1,"",,,,,,,,,"",,"",No
The Wishing Spell,Chris Colfer,"",9780316201575,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Cloud Atlas,David Mitchell,"",9780375507250,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Mother Goose Diaries,Chris Colfer,"",9780316383349,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
A Touch of Darkness,Scarlett St. Clair,"",B09C2PWWNP,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Sweet Bean Paste,Durian Sukegawa,Alison Watts (Translator),9781786071958,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
All In,Jennifer Lynn Barnes,"",9780316540841,paperback,read,2024/02/10,2023/07,2023/07,1,"",,,,,,,,,"",,"",No
The Argonauts,Maggie Nelson,"",9781555977078,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Sea of Monsters,Rick Riordan,"",9781368051491,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Gregor and the Prophecy of Bane,Suzanne Collins,"",9781338722772,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Assistant to the Villain,Hannah Nicole Maehrer,"",9781649375803,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,read,2024/02/10,2023/04,2023/04,1,"",,"","","","","",4.25,"","","","",No
Yellowface,R.F. Kuang,"",9780008532772,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Daughter of the Moon Goddess,Sue Lynn Tan,"",9780063031302,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Unwanteds,Lisa McMann,"",9781442407688,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Quests for Glory,Soman Chainani,"",9780062658470,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Titan's Curse,Rick Riordan,"",9781368051484,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Red Pyramid: The Graphic Novel,"Orpheus Collar, Rick Riordan",Orpheus Collar (Illustrator),9781423150688,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Sunbearer Trials,Aiden Thomas,"",9781250822130,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Gregor the Overlander,Suzanne Collins,"",9781338722765,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
A Tale of Sorcery...,Chris Colfer,"",9780316055994,hardcover,to-read,2024/02/11,"","",0,"",,,,,,,,,"",,"",No
The Enchantress Returns,Chris Colfer,Brandon Dorman (Illustrator),9780316201544,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Sky in the Deep,Adrienne Young,"",9781250168450,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Legends & Lattes,Travis Baldree,"",9798985663211,paperback,to-read,2024/02/21,"","",0,"",,,,,,,,,"",,"",No
Never Split the Difference: Negotiating as If Your Life Depended on It,Chris Voss,Tahl Raz,9780062407801,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Fourth Wing,Rebecca Yarros,"","",audio,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Light from Uncommon Stars,Ryka Aoki,"",9781250789068,hardcover,to-read,2024/02/21,"","",0,"",,,,,,,,,"",,"",No
Serpent & Dove,Shelby Mahurin,"",9780062878021,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Perks of Being a Wallflower,Stephen Chbosky,"",9781471133466,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Lioness,Emily Perkins,"",9781526660671,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
The Library of the Unwritten,A.J. Hackwith,"",9781984806383,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Darkest Minds,Alexandra Bracken,"",9781423157373,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Shingaling,R.J. Palacio,"","",,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Tweet Cute,Emma Lord,"",9781250237323,hardcover,read,2024/02/10,2024/02/22,2024/02/21-2024/02/22,1,lighthearted,,"","","","","",4.25,,"","","",No
Anna K,Jenny Lee,"",9781250236432,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Reign,Katharine McGee,"",9780593429747,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Kingdom of the Wicked,Kerri Maniscalco,"",9780316428453,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Free Food for Millionaires,Min Jin Lee,"",9780446504386,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Darker Shade of Magic,V.E. Schwab,"",9780765376459,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Thousand Splendid Suns,Khaled Hosseini,"",9781594489501,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Not Here to Be Liked,Michelle Quach,"",9780063038363,hardcover,read,2024/02/10,2024/02/20,2024/02/19-2024/02/20,1,lighthearted,,Character,Yes,"","","",3.75,,"","","",No
A Mango-Shaped Space,Wendy Mass,"",9780316058254,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Everblaze,Shannon Messenger,"",9781442445994,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Good Omens,"Terry Pratchett, Neil Gaiman","",9780552167406,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Lonely Castle in the Mirror,Mizuki Tsujimura,Phillip Gabriel (Translator),9780857527271,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Eros the Bittersweet,Anne Carson,"",9781564781888,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Finna,Nino Cipri,"",9781250245724,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
